1189,-1192,1685,-873,1634,-1322
1189,-1192,1700,-896,1620,-1340
1190,-1191,1712,-920,1607,-1358
1190,-1191,1725,-943,1593,-1376
1190,-1191,1736,-968,1580,-1392
1190,-1191,1746,-995,1567,-1409
1190,-1191,1755,-1021,1554,-1426
1190,-1191,1763,-1049,1542,-1443
1190,-1191,1769,-1077,1529,-1460
1190,-1191,1774,-1106,1517,-1477
1190,-1191,1778,-1134,1505,-1495
1190,-1191,1780,-1164,1492,-1513
1190,-1190,1780,-1194,1480,-1531
1190,-1190,1779,-1223,1467,-1549
1190,-1190,1777,-1253,1454,-1568
1190,-1190,1773,-1283,1441,-1588
1190,-1190,1768,-1312,1427,-1610
1190,-1190,1760,-1342,1413,-1631
1190,-1190,1752,-1372,1398,-1652
1190,-1190,1742,-1401,1382,-1676
1190,-1190,1729,-1430,1367,-1699
1189,-1190,1716,-1458,1350,-1724
1189,-1190,1701,-1486,1334,-1749
1189,-1191,1684,-1513,1316,-1775
1189,-1191,1666,-1539,1298,-1802
1189,-1191,1646,-1564,1280,-1828
1189,-1192,1626,-1589,1262,-1856
1189,-1192,1603,-1612,1243,-1884
1189,-1193,1580,-1634,1224,-1913
1189,-1193,1555,-1656,1205,-1942
1189,-1193,1529,-1675,1188,-1971
1188,-1194,1501,-1694,1170,-1999
1188,-1194,1473,-1711,1152,-2028
1188,-1194,1443,-1726,1136,-2055
1188,-1194,1412,-1740,1120,-2083
1188,-1195,1380,-1752,1105,-2108
1188,-1195,1347,-1762,1093,-2133
1188,-1195,1314,-1771,1081,-2156
1188,-1194,1279,-1777,1072,-2176
1188,-1195,1244,-1781,1063,-2193
1188,-1195,1209,-1784,1057,-2207
1187,-1195,1172,-1784,1053,-2217
1187,-1195,1136,-1781,1049,-2222
1187,-1195,1100,-1777,1046,-2223
1187,-1194,1065,-1770,1045,-2220
1187,-1194,1029,-1761,1042,-2211
1187,-1194,996,-1751,1042,-2199
1187,-1194,963,-1738,1039,-2182
1187,-1194,931,-1723,1036,-2162
1187,-1193,901,-1707,1032,-2138
1187,-1193,871,-1689,1027,-2112
1187,-1192,844,-1670,1021,-2084
1187,-1192,818,-1650,1015,-2055
1187,-1191,793,-1628,1008,-2025
1187,-1191,770,-1605,1000,-1994
1187,-1190,748,-1580,991,-1962
1187,-1190,728,-1556,982,-1930
1186,-1190,709,-1531,973,-1898
1187,-1190,691,-1505,963,-1866
1187,-1189,675,-1479,954,-1835
1186,-1190,661,-1452,944,-1804
1186,-1190,648,-1424,935,-1774
1186,-1190,637,-1396,926,-1744
1186,-1190,627,-1367,918,-1714
1186,-1190,619,-1338,910,-1686
1186,-1190,612,-1310,900,-1660
1186,-1190,607,-1281,892,-1633
1186,-1190,602,-1252,883,-1607
1186,-1190,600,-1223,876,-1582
1186,-1190,600,-1193,869,-1558
1186,-1190,600,-1164,862,-1534
1186,-1190,602,-1136,856,-1511
1186,-1190,606,-1107,850,-1489
1186,-1190,610,-1080,844,-1468
1186,-1191,616,-1052,839,-1447
1186,-1191,624,-1026,832,-1428
1186,-1191,632,-1000,826,-1409
